ANNEXURE-I

STATE-WISE DETAILS OF PROJECTS SANCTIONED UNDER THE COMPONENT OF COLD STORAGE/CA STORE/ PACKING HOUSE/RIPENING CHAMBER/PRIMARY PROCESSING UNDER MIDH/ HMNEH/ NHB/ NHM AND PATTERN OF ASSISTANCE DURING 2017-18 TO 2021-22.

S.No.,Name of State/UT,No. of Projects,Capacity (MT),Estimated Cost (in Lakh),Pattern of Assistance
,,,2017-18,,
1,Andhra Pradesh,1,5000,1050,35% with a ceiling of Rs. 350.00 Lakh
2,Arunachal Pradesh,2,585,195.57,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
3,Bihar,25,7695,2565.37,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
4,Chhattisgarh,0,0,0,
5,Delhi,0,0,0,
6,Goa,0,0,0,
7,Gujarat,5,2390,693,35% with a ceiling of Rs. 350.00 Lakh
8,Haryana,0,0,0,
9,Himachal Pradesh,1,1000,254.95,35% of the cost of project
10,Jammu & Kashmir,2,2100,641.62,"50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)/100.00 Lakh (Multi-commodity)/Rs. 26.00 Lakh for low energy structure (8 MT) for high altitude areas, TSP area, etc."
11,Jharkhand,0,0,0,
12,Karnataka,0,0,0,
13,Kerala,0,0,0,
14,Madhya Pradesh,6,3000,1002.15,50% with a ceiling of Rs. 4000.00 Per MT (max. 5000MT)
15,Maharashtra,71,46680.1,12870.51,35% of the cost of project
16,Manipur,0,0,0,
17,Meghalaya,0,0,0,
18,Mizoram,0,0,0,
19,Nagaland,0,0,0,
20,Odisha,0,0,0,
21,Punjab,1,5000,1047.5,35% of the cost of project
22,Rajasthan,11,6490,1842.89,35% of the cost of project
23,Sikkim,0,0,0,
24,Tamil Nadu,3,4540,1064.93,35% of the cost of project
25,Telangana,7,10120,2328.44,"35% with a ceiling of Rs. 350.00 Lakh (General) and 50% with a ceiling of Rs. 500.00 Lakh (SC, ST, Small & Marginal Farmer, women and NE States)"
26,Tripura,0,0,0,
27,Uttar Pradesh,22,10075,2969.38,35% of the cost of project
28,Uttarakhand,15,4350,1425.54,35% of the cost of project
29,West Bengal,17,18710,4795.29,35% of the cost of project
,Union Territory,,,,
